run_id	iomode	ram_gb	topp	n	cores	decode_tok_s	hit_rate	disk_wait_s	decode_s	rss_gb
20260719-122644	base	50	0	96	12	1.10	43.4	57.293	87.54	40.63
20260719-122835	base	50	0	96	12	1.10	43.9	57.435	87.58	40.63
20260719-123025	base	56	0	96	12	1.08	48.5	58.351	88.76	47.28
20260719-123217	base	56	0	96	12	1.12	48.8	55.630	85.59	47.29
20260719-123406	base	60	0	96	12	1.13	50.8	54.561	84.94	50.46
20260719-123555	base	60	0	96	12	1.10	51.1	56.031	87.10	50.46
20260719-123753	base	50	0.7	96	12	1.10	45.8	56.938	87.66	40.63
20260719-123944	base	50	0.7	96	12	1.09	46.3	57.174	87.79	40.63
20260719-124134	base	56	0.7	96	12	1.13	50.9	54.748	84.83	47.29
20260719-124322	base	56	0.7	96	12	1.13	51.3	55.622	85.27	47.29
20260719-124510	base	60	0.7	96	12	1.15	53.2	53.574	83.40	50.46
20260719-124657	base	60	0.7	96	12	1.18	53.7	51.510	81.26	50.46
20260719-125158	base	60	0.7	96	12	1.19	54.0	50.518	80.40	50.45
20260719-125423	uring	60	0.7	96	12	1.19	54.3	50.910	80.88	50.45
20260719-125621	base+pipe	60	0.7	96	12	1.16	54.4	52.512	82.97	50.46
20260719-125813	uring+pipe	60	0.7	96	12	1.17	54.7	52.014	81.92	50.45
20260719-130004	uring	60	0.7	96	12	1.18	55.1	50.610	81.18	50.45
20260719-130155	uring+direct	60	0.7	96	12	2.37	55.4	10.731	40.43	50.46
20260719-130306	uring+direct	60	0.7	96	12	2.39	55.8	10.072	40.23	50.46
20260719-130407	uring+direct	50	0.7	96	12	2.32	50.3	11.270	41.34	40.61
20260719-130500	uring+direct	56	0.7	96	12	2.38	54.5	10.306	40.36	47.31
20260719-130735	uring+direct+pilot	60	0.7	96	12	2.25	56.4	10.672	42.67	50.44
20260719-130905	uring+direct	60	0.7	96	12	2.39	56.6	9.838	40.23	50.44
20260719-131004	uring+direct	60	0.7	96	24	0.39	56.8	10.104	245.94	50.44
20260719-133822	uring	60	0.7	96	12	2.37	56.8	10.214	40.50	51.75
20260719-133930	uring	60	0.7	96	12	2.40	57.0	9.852	40.08	51.75
20260719-133822	uring+direct+pc0.5	60	0.7	96	12	2.37	56.8	10.214	40.50	51.75
20260719-133943	uring+direct+pc0.5	60	0.7	96	12	2.40	57.0	9.852	40.08	51.75
20260719-141304	uring	60	0.7	96	12	2.46	57.9	9.859	39.00	50.48
20260719-141403	uring	60	0.7	96	12	2.49	58.1	9.535	38.51	50.48
20260719-151431	uring	60	0.7	96	12	2.45	57.9	9.541	39.23	50.50
20260719-151600	uring	60	0.7	96	12	2.35	56.0	10.303	40.78	50.46
20260719-151654	uring	60	0.7	96	12	2.47	58.1	9.557	38.91	50.49
20260719-151045	uring+direct	60	0.7	96	12	2.35	56.0	10.303	40.78	50.46
20260719-183039	uring	60	0	96	8	1.37	57.0	9.531	70.14	50.51
20260719-203041	uring	60	0	96	8	1.36	57.3	9.501	70.52	50.50
20260719-203525	uring	60	0	96	6	1.3	67	22.1105	73.74	50.89
20260719-203835	uring	60	0	96	8	1.39	67.45	21.984	69.04	50.865
20260719-204134	uring	60	0	96	10	1.365	67.8	21.4235	70.19	50.86
20260719-204435	uring	60	0	96	12	1.025	68.15	16.985	93.86	50.86
20260719-211447	uring	60	0	96	8	1.155	85.15	9.916	83.195	50.62
20260719-211823	uring	60	0	96	8	0.92	68.35	16.638	104.785	50.82
20260719-212241	uring	60	0	96	8	0.95	68.85	16.194	100.88	50.82
20260719-212703	uring	60	0	96	8	0.945	69.05	16.0045	101.68	50.82
20260719-214422	uring	60	0	96	8	0.97	69.35	16.0015	98.91	50.81
20260719-214828	uring	60	0	96	8	0.89	69.45	16.3165	108.255	50.795
20260719-215251	uring	60	0	96	8	0.875	69.6	15.6675	109.725	50.79
